RedField(Td)          PowerField(eVm^3s^-1) PwrElaGain(eVm^3s^-1) PwrElaLoss(eVm^3s^-1) PwrElaNet(eVm^3s^-1)  PwrCARGain(eVm^3s^-1) PwrCARLoss(eVm^3s^-1) PwrCARNet(eVm^3s^-1)  PwrEleGain(eVm^3s^-1) PwrEleLoss(eVm^3s^-1) PwrEleNet(eVm^3s^-1)  PwrVibGain(eVm^3s^-1) PwrVibLoss(eVm^3s^-1) PwrVibNet(eVm^3s^-1)  PwrRotGain(eVm^3s^-1) PwrRotLoss(eVm^3s^-1) PwrRotNet(eVm^3s^-1)  PwrIon(eVm^3s^-1)     PwrAtt(eVm^3s^-1)     PwrGroth(eVm^3s^-1)   PwrBalance(eVm^3s^-1) RelPwrBalance         
+0.00000000000000e+00 +0.00000000000000e+00 +9.59981636675520e-20 -6.10705821815162e-20 +3.49275814860358e-20 +8.60516506558500e-21 -5.68829496072069e-21 +2.91687010486431e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56424681755066e-23 -4.71569317936436e-20 -4.70912893254681e-20 +1.25818560558899e-19 -1.16571722824299e-19 +9.24683773459923e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +3.12963615962926e-32 1.35783317029278e-11%
+1.00000000000000e-03 +1.76991287014464e-24 +9.59981596427337e-20 -6.10707295849012e-20 +3.49274300578325e-20 +8.60515736453938e-21 -5.68830165104006e-21 +2.91685571349932e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425008781281e-23 -4.71584866398616e-20 -4.70928441389834e-20 +1.25818520361506e-19 -1.16571731906711e-19 +9.24678845479516e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.37222508537591e-32 5.95353183140053e-12%
+1.02807322383087e-03 +1.87068207291648e-24 +9.59981594135845e-20 -6.10707379770896e-20 +3.49274214364949e-20 +8.60515692609523e-21 -5.68830203194275e-21 +2.91685489415248e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425027399886e-23 -4.71585751646034e-20 -4.70929326618634e-20 +1.25818518072931e-19 -1.16571732423776e-19 +9.24678564915552e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.23981740169928e-32 5.37906595086887e-12%
+1.05693455355799e-03 +1.97718852569074e-24 +9.59981591713891e-20 -6.10707468470664e-20 +3.49274123243226e-20 +8.60515646268953e-21 -5.68830243453115e-21 +2.91685402815838e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425047078486e-23 -4.71586687294917e-20 -4.70930262247839e-20 +1.25818515654063e-19 -1.16571732970276e-19 +9.24678268378616e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +8.97964836570549e-33 3.89590427131136e-12%
+1.08660611385460e-03 +2.08975887628536e-24 +9.59981589154044e-20 -6.10707562220270e-20 +3.49274026933774e-20 +8.60515597290228e-21 -5.68830286003952e-21 +2.91685311286277e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425067877392e-23 -4.71587676214885e-20 -4.70931251147007e-20 +1.25818513097483e-19 -1.16571733547883e-19 +9.24677954960042e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.61537374085479e-32 7.00844645237941e-12%
+1.11711065050482e-03 +2.20873837007183e-24 +9.59981586448459e-20 -6.10707661307264e-20 +3.49273925141196e-20 +8.60515545523026e-21 -5.68830330977306e-21 +2.91685214545720e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425089860421e-23 -4.71588721439006e-20 -4.70932296349146e-20 +1.25818510395353e-19 -1.16571734158373e-19 +9.24677623697983e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.21574327739444e-32 5.27461055891784e-12%
+1.14847154784029e-03 +2.33449190881935e-24 +9.59981583588837e-20 -6.10707766035487e-20 +3.49273817553350e-20 +8.60515490808656e-21 -5.68830378511079e-21 +2.91685112297577e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425113094969e-23 -4.71589826172931e-20 -4.70933401059836e-20 +1.25818507539384e-19 -1.16571734803615e-19 +9.24677273576943e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +5.36852971997942e-33 2.32918323110111e-12%
+1.18071284666619e-03 +2.46740516982380e-24 +9.59981580566404e-20 -6.10707876726047e-20 +3.49273703840357e-20 +8.60515432979419e-21 -5.68830428751007e-21 +2.91685004228412e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425137652258e-23 -4.71590993804826e-20 -4.70934568667173e-20 +1.25818504520822e-19 -1.16571735485583e-19 +9.24676903523862e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.09778006830072e-32 4.76281147474415e-12%
+1.21385926269063e-03 +2.60788578875392e-24 +9.59981577371898e-20 -6.10707993718463e-20 +3.49273583653435e-20 +8.60515371857812e-21 -5.68830481851204e-21 +2.91684890006607e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425163607645e-23 -4.71592227915940e-20 -4.70935802752332e-20 +1.25818501330407e-19 -1.16571736206378e-19 +9.24676512402894e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -5.94630870329559e-33 2.57985468919634e-12%
+1.24793620547131e-03 +2.75636460984250e-24 +9.59981573995517e-20 -6.10708117371370e-20 +3.49273456624148e-20 +8.60515307256640e-21 -5.68830537974427e-21 +2.91684769282212e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425191040644e-23 -4.71593532291189e-20 -4.70937107100149e-20 +1.25818497958359e-19 -1.16571736968196e-19 +9.24676099016238e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -5.72964158455203e-33 2.48585033234914e-12%
+1.28296979789415e-03 +2.91329700725662e-24 +9.59981570426907e-20 -6.10708248063965e-20 +3.49273322362942e-20 +8.60515238977774e-21 -5.68830597292788e-21 +2.91684641684986e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425220035390e-23 -4.71594910930979e-20 -4.70938485710943e-20 +1.25818494394337e-19 -1.16571737773377e-19 +9.24675662096034e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.73333694994851e-32 7.52021452269001e-12%
+1.31898689619867e-03 +3.07916428169969e-24 +9.59981566655128e-20 -6.10708386197143e-20 +3.49273180457986e-20 +8.60515166811661e-21 -5.68830659988252e-21 +2.91684506823410e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425250680848e-23 -4.71596368064021e-20 -4.70939942813340e-20 +1.25818490627410e-19 -1.16571738624395e-19 +9.24675200301482e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -4.81482486096809e-33 2.08894701933156e-12%
+1.35601511056563e-03 +3.25447513652868e-24 +9.59981562668609e-20 -6.10708532194281e-20 +3.49273030474329e-20 +8.60515090537297e-21 -5.68830726252962e-21 +2.91684364284335e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425283070894e-23 -4.71597908158974e-20 -4.70941482875903e-20 +1.25818486646031e-19 -1.16571739523848e-19 +9.24674712218343e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +5.89816045468591e-33 2.55895820940044e-12%
+1.39408282628258e-03 +3.43976723791334e-24 +9.59981558455127e-20 -6.10708686503122e-20 +3.49272871952005e-20 +8.60515009920696e-21 -5.68830796290143e-21 +2.91684213630553e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425317304879e-23 -4.71599535939401e-20 -4.70943110622096e-20 +1.25818482437991e-19 -1.16571740474497e-19 +9.24674196349396e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.82870960581875e-32 1.22725451010394e-11%
+1.43321922550357e-03 +3.63560886382275e-24 +9.59981554001760e-20 -6.10708849596906e-20 +3.49272704404854e-20 +8.60514924714617e-21 -5.68830870314587e-21 +2.91684054400029e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425353487790e-23 -4.71601256397962e-20 -4.70944831044474e-20 +1.25818477990385e-19 -1.16571741479258e-19 +9.24673651112623e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.83593184311020e-32 1.23038691109736e-11%
+1.47345430961984e-03 +3.84260064689633e-24 +9.59981549294854e-20 -6.10709021975687e-20 +3.49272527319167e-20 +8.60514834657831e-21 -5.68830948553255e-21 +2.91683886104576e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425391730556e-23 -4.71603074811305e-20 -4.70946649419575e-20 +1.25818473289575e-19 -1.16571742541210e-19 +9.24673074836505e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.69241093863028e-32 7.34262516551707e-12%
+1.51481892225835e-03 +4.06137741654462e-24 +9.59981544319970e-20 -6.10709204168002e-20 +3.49272340151968e-20 +8.60514739474270e-21 -5.68831031246029e-21 +2.91683708228240e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425432150418e-23 -4.71604996756519e-20 -4.70948571324369e-20 +1.25818468321150e-19 -1.16571743663605e-19 +9.24672465754516e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +4.06852700751804e-33 1.76515292982531e-12%
+1.55734477292614e-03 +4.29261014592954e-24 +9.59981539061856e-20 -6.10709396732432e-20 +3.49272142329424e-20 +8.60514638872165e-21 -5.68831118646430e-21 +2.91683520225735e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425474871278e-23 -4.71607028128179e-20 -4.70950602653308e-20 +1.25818463069876e-19 -1.16571744849879e-19 +9.24671821999721e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.20611362767251e-32 5.23278554240514e-12%
+1.60106446131832e-03 +4.53700800979528e-24 +9.59981533504385e-20 -6.10709600259497e-20 +3.49271933244888e-20 +8.60514532542989e-21 -5.68831211022479e-21 +2.91683321520511e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425520024145e-23 -4.71609175156824e-20 -4.70952749636800e-20 +1.25818457519651e-19 -1.16571746103671e-19 +9.24671141597991e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +3.65926689433575e-33 1.58758998762408e-12%
+1.64601150230855e-03 +4.79532055946135e-24 +9.59981527630517e-20 -6.10709815373179e-20 +3.49271712257338e-20 +8.60514420160805e-21 -5.68831308657382e-21 +2.91683111503423e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425567747433e-23 -4.71611444427327e-20 -4.70955018859579e-20 +1.25818451653458e-19 -1.16571747428821e-19 +9.24670422463682e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +6.37964294078272e-33 2.76783479639064e-12%
+1.69222035164104e-03 +5.06834002164804e-24 +9.59981521422238e-20 -6.10710042733068e-20 +3.49271478689171e-20 +8.60514301381086e-21 -5.68831411850501e-21 +2.91682889530586e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425618187450e-23 -4.71613842899839e-20 -4.70957417281652e-20 +1.25818445453311e-19 -1.16571748829387e-19 +9.24669662392339e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.76852429505665e-33 1.20113447399482e-12%
+1.73972643234380e-03 +5.35690372818501e-24 +9.59981514860511e-20 -6.10710283036163e-20 +3.49271231824348e-20 +8.60514175839758e-21 -5.68831520918177e-21 +2.91682654921580e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425671498803e-23 -4.71616377930448e-20 -4.70959952258949e-20 +1.25818438900202e-19 -1.16571750309658e-19 +9.24668859054375e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.75889464533472e-32 1.19695516036344e-11%
+1.78856616188346e-03 +5.66189668405449e-24 +9.59981507925214e-20 -6.10710537019427e-20 +3.49270970905787e-20 +8.60514043151709e-21 -5.68831636194910e-21 +2.91682406956799e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425727845005e-23 -4.71619057294753e-20 -4.70962631566908e-20 +1.25818431974035e-19 -1.16571751874178e-19 +9.24668009985681e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -3.25000678115346e-33 1.41002390139158e-12%
+1.83877698008233e-03 +5.98425428164577e-24 +9.59981500595082e-20 -6.10710805461321e-20 +3.49270695133761e-20 +8.60513902910496e-21 -5.68831758033994e-21 +2.91682144876502e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425787398686e-23 -4.71621889210079e-20 -4.70965463422681e-20 +1.25818424653582e-19 -1.16571753527727e-19 +9.24667112585551e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.01592804566427e-32 4.40762428592916e-12%
+1.89039737781922e-03 +6.32496516954442e-24 +9.59981492847638e-20 -6.10711089185012e-20 +3.49270403662626e-20 +8.60513754685961e-21 -5.68831886809053e-21 +2.91681867876908e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425850342485e-23 -4.71624882362516e-20 -4.70968456512174e-20 +1.25818416916395e-19 -1.16571755275379e-19 +9.24666164101631e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.92592994438724e-34 8.35567386097723e-14%
+1.94346692653602e-03 +6.68507428465607e-24 +9.59981484659121e-20 -6.10711389060227e-20 +3.49270095598894e-20 +8.60513598023981e-21 -5.68832022914806e-21 +2.91681575109175e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425916869277e-23 -4.71628045932295e-20 -4.70971620015425e-20 +1.25818408738758e-19 -1.16571757122476e-19 +9.24665161628185e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +5.12778847693102e-33 2.22469479164861e-12%
+1.99802630857255e-03 +7.06568605696278e-24 +9.59981476004425e-20 -6.10711706006382e-20 +3.49269769998043e-20 +8.60513432444159e-21 -5.68832166768555e-21 +2.91681265675604e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56425987183036e-23 -4.71631389622569e-20 -4.70974963635386e-20 +1.25818400095597e-19 -1.16571759074682e-19 +9.24664102091508e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -6.23519819495368e-33 2.70514097401505e-12%
+2.05411734835306e-03 +7.46796779674218e-24 +9.59981466857013e-20 -6.10712040995017e-20 +3.49269425861995e-20 +8.60513257439139e-21 -5.68832318811233e-21 +2.91680938627906e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56426061499233e-23 -4.71634923688606e-20 -4.70978497627106e-20 +1.25818390960421e-19 -1.16571761137969e-19 +9.24662982245232e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.69963317592174e-32 7.37384668782307e-12%
