RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+0.00000000000000e+00 +2.90000222463068e+22 +1.76991280909667e+24 +0.00000000000000e+00 NaN                   NaN                   +1.06787167700363e+21 +7.28250532499197e+22 +2.46140061658869e-02 +1.63850004911303e-02 +1.64093374439246e-02 
+1.00000000000000e-03 +2.90000932440220e+22 +1.76991287014464e+24 +1.76991287014464e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787682628144e+21 +7.28252348574030e+22 +2.46140660085006e-02 +1.63850400396558e-02 +1.64093773390004e-02 
+1.02807322383087e-03 +2.90000972861700e+22 +1.76991287362036e+24 +1.81960003388264e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787711944837e+21 +7.28252451969526e+22 +2.46140694155494e-02 +1.63850422912910e-02 +1.64093796103663e-02 
+1.05693455355799e-03 +2.90001015584477e+22 +1.76991287729398e+24 +1.87068207679925e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787742930607e+21 +7.28252561251592e+22 +2.46140730165701e-02 +1.63850446711173e-02 +1.64093820110468e-02 
+1.08660611385460e-03 +2.90001060739539e+22 +1.76991288117676e+24 +1.92319815767667e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787775680465e+21 +7.28252676755287e+22 +2.46140768226035e-02 +1.63850471864314e-02 +1.64093845484023e-02 
+1.11711065050482e-03 +2.90001108465387e+22 +1.76991288528059e+24 +1.97718853461267e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787810294857e+21 +7.28252798834885e+22 +2.46140808453233e-02 +1.63850498449483e-02 +1.64093872302156e-02 
+1.14847154784029e-03 +2.90001158908368e+22 +1.76991288961807e+24 +2.03269459588214e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787846879926e+21 +7.28252927864734e+22 +2.46140850970651e-02 +1.63850526548201e-02 +1.64093900647101e-02 
+1.18071284666619e-03 +2.90001212223145e+22 +1.76991289420251e+24 +2.08975889166504e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787885547853e+21 +7.28253064240454e+22 +2.46140895908650e-02 +1.63850556246620e-02 +1.64093930605767e-02 
+1.21385926269063e-03 +2.90001268573251e+22 +1.76991289904794e+24 +2.14842516666496e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787926417235e+21 +7.28253208380346e+22 +2.46140943405069e-02 +1.63850587635836e-02 +1.64093962270046e-02 
+1.24793620547131e-03 +2.90001328131424e+22 +1.76991290416925e+24 +2.20873839364369e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06787969613370e+21 +7.28253360726269e+22 +2.46140993605504e-02 +1.63850620812069e-02 +1.64093995737003e-02 
+1.28296979789415e-03 +2.90001391080307e+22 +1.76991290958215e+24 +2.27074480789686e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788015268723e+21 +7.28253521745411e+22 +2.46141046663903e-02 +1.63850655877058e-02 +1.64094031109269e-02 
